threshold,precision,recall,f1
0.5049999999999999,0.38235294117647056,0.41711229946524064,0.3989769820971867
0.5099999999999999,0.3869346733668342,0.4117647058823529,0.3989637305699482
0.5149999999999999,0.39790575916230364,0.40641711229946526,0.4021164021164021
0.5199999999999999,0.40540540540540543,0.40106951871657753,0.40322580645161293
0.5249999999999999,0.4111111111111111,0.39572192513368987,0.4032697547683924
0.5299999999999999,0.4269005847953216,0.39037433155080214,0.40782122905027934
0.5349999999999999,0.42771084337349397,0.37967914438502676,0.4022662889518414
0.5399999999999999,0.42857142857142855,0.3689839572192513,0.39655172413793105
0.5449999999999999,0.42207792207792205,0.34759358288770054,0.38123167155425214
0.5499999999999999,0.43333333333333335,0.34759358288770054,0.3857566765578635
0.5549999999999999,0.44680851063829785,0.33689839572192515,0.38414634146341464
0.5599999999999999,0.4765625,0.32620320855614976,0.3873015873015873
0.565,0.48760330578512395,0.3155080213903743,0.38311688311688313
0.57,0.48739495798319327,0.31016042780748665,0.37908496732026153
0.575,0.48717948717948717,0.3048128342245989,0.375
0.58,0.5089285714285714,0.3048128342245989,0.38127090301003347
0.585,0.5436893203883495,0.2994652406417112,0.38620689655172413
0.59,0.5490196078431373,0.2994652406417112,0.3875432525951557
0.595,0.56,0.2994652406417112,0.39024390243902435
0.6,0.5729166666666666,0.29411764705882354,0.38869257950530034
